"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"80","Chris Henry",2005,"WR",21,17,"West Virginia",64,45,NA,NA,NA,NA,NA,83,2007,2010,2,11.1,0,4.8,85.7,2,15.9
"81","Chris Henry",2005,"WR",21,17,"West Virginia",64,45,NA,NA,NA,NA,NA,83,2005,2009,0,0,21,33.2,51.3,21,33.2
"82","Chris Moore",2016,"WR",22,6,"Cincinnati",73,45.3,37,10,130,67.6,42,107,2016,2021,0,0.4,6,10.1,64.2,6,10.5
"83","Christian Kirk",2018,"WR",21,26,"Texas A&M",70,44.7,35.5,20,115,70.9,44.5,47,2018,2021,0,2.5,17,51.8,65.9,17,54.3
"84","Clarence Moore",2004,"WR",21,2,"Northern Arizona",78,45.5,34,NA,122,68.4,41.6,199,2004,2006,0,0,5,12.2,34.9,5,12.2
"85","Cliff Russell",2002,"WR",23,0,"Utah",71,43.6,NA,NA,NA,NA,NA,87,2003,2008,0,0.7,0,2,55.6,0,2.7
"86","Clyde Gates",2011,"WR",24,3,"Abilene Christian",72,43.1,40,16,131,NA,NA,111,2011,2013,0,0.5,0,11.4,52.6,0,11.9
"87","Cobi Hamilton",2013,"WR",22,2,"Arkansas",74,45.6,29.5,11,107,NA,43.1,197,2014,2017,0,0,2,17.3,52.9,2,17.3
"88","Cody Core",2016,"WR",21,3,"Mississippi",75,44.7,31.5,14,119,NA,NA,199,2016,2019,0,0,1,7.6,51.6,1,7.6
"89","Cody Latimer",2014,"WR",21,6,"Indiana",74,45.2,NA,23,NA,NA,NA,56,2014,2019,0,0,6,14.2,58.8,6,14.2
"90","Cooper Kupp",2017,"WR",23,49,"East. Washington",74,46.2,31,NA,116,67.5,40.8,69,2017,2021,0,1.1,40,77.7,72.4,40,78.8
"91","Cordarrelle Patterson",2013,"WR",21,41,"Tennessee",74,44.2,37,NA,128,NA,NA,29,2013,2021,14,11.4,15,18.4,67.5,29,29.8
"92","Corey Coleman",2016,"WR",21,6,"Baylor",71,44.2,40.5,17,129,NA,NA,15,2016,2018,0,0.6,5,29.2,43.9,5,29.8
"93","Corey Davis",2017,"WR",22,30,"West. Michigan",75,NA,NA,NA,NA,NA,NA,5,2017,2021,0,0.8,15,51.4,60.7,15,52.2
"94","Corey Fuller",2013,"WR",22,3,"Virginia Tech",74,44.3,31.5,12,120,NA,NA,171,2014,2015,0,0,1,10.3,45,1,10.3
"95","Courtland Sutton",2018,"WR",22,21,"SMU",75,45.4,35.5,18,124,65.7,41.1,40,2018,2021,0,0.3,12,53.2,56.1,12,53.5
"96","Courtney Roby",2005,"WR",22,4,"Indiana",72,44.1,36.5,NA,126,66,39.4,68,2005,2014,0,0.2,1,3.7,47.3,1,3.9
"97","Courtney Taylor",2007,"WR",22,1,"Auburn",74,45,36,NA,122,72.2,42.8,197,2007,2008,0,0,0,7.6,45.2,0,7.6
"98","Craphonso Thorpe",2005,"WR",21,1,"Florida State",73,43.8,NA,NA,NA,NA,NA,116,2007,2007,0,0,1,14,60,1,14
