"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"352","Rashard Higgins",2016,"WR",21,14,"Colorado State",73,46.4,32,13,116,NA,NA,172,2016,2021,0,0,12,23,60.9,12,23
"353","Rashaun Woods",2004,"WR",23,1,"Oklahoma State",74,44.7,39,NA,125,69.3,39.7,31,2004,2004,0,0,1,11.4,30.4,1,11.4
"354","Reche Caldwell",2002,"WR",22,21,"Florida",72,45.3,41.5,NA,130,70,41,48,2002,2007,0,1.5,11,26.1,55.7,11,27.6
"355","Reggie Brown",2005,"WR",24,21,"Georgia",74,44.5,41.5,NA,128,69.9,39.4,35,2005,2009,1,0.9,17,35.8,52.5,18,36.7
"356","Reggie Germany",2001,"WR",22,2,"Ohio State",73,43.9,NA,NA,NA,NA,NA,214,2001,2001,0,0,0,12.7,57.1,0,12.7
"357","Reggie Wayne",2001,"WR",22,153,"Miami (FL)",72,44.5,NA,NA,NA,NA,NA,30,2001,2014,0,0,82,68,62.4,82,68
"358","Reggie Williams",2004,"WR",20,25,"Washington",64,45.6,NA,NA,NA,NA,NA,9,2004,2008,0,0.6,18,29.4,57.1,18,30
"359","Ricardo Louis",2016,"WR",21,3,"Auburn",74,44.3,38,18,132,NA,NA,114,2016,2017,0,0,0,17.6,46.9,0,17.6
"360","Riley Cooper",2010,"WR",22,18,"Florida",75,45.3,33,NA,114,NA,NA,159,2010,2015,0,0.2,18,27.5,52.8,18,27.7
"361","Rishard Matthews",2012,"WR",22,24,"Nevada",72,45.4,36,20,NA,68.8,41.9,227,2012,2018,0,0,21,36.3,61.5,21,36.3
"362","Robert Davis",2017,"WR",21,0,"Georgia State",75,44.4,41,19,136,68.2,42.8,209,2017,2019,0,0,0,2.4,40,0,2.4
"363","Robert Herron",2014,"WR",21,0,"Wyoming",69,44.8,35.5,18,125,68.4,42.7,185,2014,2014,0,0,1,7.3,50,1,7.3
"364","Robert Meachem",2007,"WR",22,29,"Tennessee",74,43.9,37.5,NA,121,69.7,43.1,27,2008,2014,1,1.2,27,28.3,61,28,29.5
"365","Robert Woods",2013,"WR",20,64,"USC",72,45.1,33.5,14,117,71.5,44.7,41,2013,2021,5,4.1,35,56.6,63.5,40,60.7
"366","Rod Gardner",2001,"WR",23,27,"Clemson",74,44.8,NA,NA,NA,NA,NA,15,2001,2006,0,0.3,23,34.8,48.6,23,35.1
"367","Roddy White",2005,"WR",23,107,"Ala-Birmingham",73,44.6,NA,NA,NA,NA,NA,27,2005,2015,0,0.1,63,63.5,58.7,63,63.6
"368","Rodney Adams",2017,"WR",22,0,"South Florida",73,44.4,29.5,8,125,69.8,42.8,170,2017,2021,0,0,0,0,0,0,0
"369","Ron Dugans",2000,"WR",22,6,"Florida State",73,45.8,NA,NA,117,NA,NA,66,2000,2002,0,0,3,17.3,57.1,3,17.3
"370","Ron Johnson",2002,"WR",21,1,"Minnesota",74,47,34.5,NA,118,71.2,40.2,123,2002,2003,0,0,1,5.7,37.9,1,5.7
"371","Roscoe Parrish",2005,"WR",22,15,"Miami (FL)",70,43.7,NA,NA,NA,NA,NA,55,2005,2012,1,0.8,7,16.7,58,8,17.5
"372","Roy Williams",2004,"WR",22,49,"Texas",74,44.8,NA,NA,NA,NA,NA,7,2004,2011,0,0.1,44,49.7,54.6,44,49.8
"373","Rueben Randle",2012,"WR",20,22,"LSU",75,45.5,31,15,121,69.9,43.6,63,2012,2015,0,0,20,41.3,57.5,20,41.3
"374","Ryan Broyles",2012,"WR",23,3,"Oklahoma",70,45.7,NA,21,NA,NA,NA,54,2012,2014,0,0,2,20,62.7,2,20
"375","Ryan Grant",2014,"WR",23,10,"Tulane",72,46.4,35.5,8,119,66.8,41.1,142,2014,2019,0,0,7,16.7,60.9,7,16.7
"376","Ryan Switzer",2017,"WR",22,3,"North Carolina",68,45.1,32,11,116,67.7,40,133,2017,2019,0,0.6,1,7.8,80.6,1,8.4
"377","Ryan Whalen",2011,"WR",21,0,"Stanford",73,45.3,38.5,18,123,66.7,40.9,167,2011,2013,0,0,0,4.7,64.7,0,4.7
"378","Ryne Robinson",2007,"WR",22,0,"Miami (OH)",69,44.7,35,NA,123,67.1,42.1,118,2007,2007,0,0,0,2.2,50,0,2.2
"379","Sam Aiken",2003,"WR",22,7,"North Carolina",74,45.9,39.5,NA,121,72.2,NA,127,2003,2010,0,0,2,7.2,51.1,2,7.2
"380","Samie Parker",2004,"WR",22,14,"Oregon",70,43.9,36,NA,NA,NA,NA,105,2004,2007,0,0.2,7,32.5,61.1,7,32.7
"381","Sammie Coates",2015,"WR",21,4,"Auburn",73,44.3,41,23,131,69.8,40.6,87,2015,2018,0,0.3,2,12,45.3,2,12.3
"382","Sammie Stroughter",2009,"WR",23,5,"Oregon State",69,44.5,30,13,110,70.3,42.8,233,2009,2012,0,0.1,1,19.4,56.1,1,19.5
"383","Sammy Watkins",2014,"WR",20,48,"Clemson",73,44.3,34,16,126,69.5,43.4,4,2014,2021,0,0.8,34,51.1,58.5,34,51.9
"384","Santana Moss",2001,"WR",21,92,"Miami (FL)",70,43.1,NA,NA,NA,NA,NA,16,2001,2014,0,1.5,66,52.2,57.7,66,53.7
"385","Santonio Holmes",2006,"WR",22,54,"Ohio State",71,43.5,NA,NA,NA,NA,NA,25,2006,2014,0,0.8,36,53.8,53,36,54.6
"386","Scotty Anderson",2001,"WR",21,8,"Grambling State",74,45.7,34.5,NA,115,NA,NA,148,2001,2003,0,0,4,25.2,44.6,4,25.2
"387","Shaun McDonald",2003,"WR",21,20,"Arizona State",68,44.3,NA,NA,NA,NA,NA,106,2003,2009,0,0.2,11,28.3,58.5,11,28.5
"388","Shelton Gibson",2017,"WR",22,0,"West Virginia",71,45,32,8,118,68.3,42,166,2017,2019,0,0,0,3,50,0,3
"389","Sidney Rice",2007,"WR",20,36,"South Carolina",75,45.1,39.5,NA,119,70.9,43.4,44,2007,2013,0,0.1,30,44.3,57.7,30,44.4
"390","Sinorice Moss",2006,"WR",22,4,"Miami (FL)",68,43.8,NA,NA,NA,NA,NA,44,2006,2009,0,0.1,3,11.4,59.1,3,11.5
"391","Skyler Green",2006,"WR",21,0,"LSU",69,45.3,34,NA,118,NA,NA,125,2006,2008,0,0.1,0,3,75,0,3.1
"392","Sloan Thomas",2004,"WR",22,0,"Texas",73,45,NA,NA,NA,NA,NA,211,2005,2005,0,0,0,0,NA,0,0
"393","Snoop Minnis",2001,"WR",24,5,"Florida State",73,45.7,37.5,NA,115,70.6,40.7,77,2001,2002,0,0,1,34.3,47.9,1,34.3
"394","Stacy Coley",2017,"WR",22,0,"Miami (FL)",73,44.5,34,10,122,NA,NA,219,2017,2018,0,0,0,0,0,0,0
"395","Stedman Bailey",2013,"WR",22,7,"West Virginia",70,45.2,34.5,11,117,68.1,40.9,92,2013,2015,1,1.2,2,22.2,61.5,3,23.4
"396","Stefon Diggs",2015,"WR",21,72,"Maryland",72,44.6,35,NA,115,70.3,43.2,146,2015,2021,0,1.6,48,71.7,68.9,48,73.3
"397","Stephen Hill",2012,"WR",20,4,"Georgia Tech",64,43.6,39.5,14,133,68.8,44.8,43,2012,2013,0,0,4,25.8,42.5,4,25.8
"398","Sterling Shepard",2016,"WR",23,29,"Oklahoma",70,44.8,41,20,123,70,43.5,40,2016,2021,1,2.5,21,53.9,66.9,22,56.4
"399","Steve Breaston",2007,"WR",23,28,"Michigan",72,44.6,33,NA,124,69,42.9,142,2007,2012,0,1.4,9,39.4,62.3,9,40.8
"400","Steve Smith",2001,"WR",21,139,"Utah",69,44.1,38.5,NA,121,74.4,42.5,74,2007,2012,0,0,12,41.3,65.7,12,41.3
"401","Steve Smith",2007,"WR",21,24,"USC",72,44.4,38,NA,120,66.8,41.9,51,2007,2012,0,0,12,41.3,65.7,12,41.3
"402","Sylvester Morris",2000,"WR",22,6,"Jackson State",75,46,34.5,NA,119,70.6,41.7,21,2000,2000,0,0,3,45.2,45.7,3,45.2
"403","Syndric Steptoe",2007,"WR",22,1,"Arizona",69,45.9,33,17,NA,NA,NA,234,2008,2008,0,0,0,11.4,46.3,0,11.4
"404","T.J. Graham",2012,"WR",22,7,"North Carolina State",71,43.4,33.5,8,120,67.7,41.8,69,2012,2015,0,0.4,4,16.9,47.7,4,17.3
"405","T.Y. Hilton",2012,"WR",22,86,"Florida International",69,43.4,NA,NA,NA,NA,NA,92,2012,2021,0,0.4,53,67.8,58.6,53,68.2
"406","Tab Perry",2005,"WR",23,1,"UCLA",74,44.6,34,NA,116,70,NA,190,2005,2007,1,1.1,1,5.5,62.5,2,6.6
"407","Tajae Sharpe",2016,"WR",21,13,"Massachusetts",74,45.5,33.5,11,114,NA,NA,140,2016,2021,0,0.3,8,21.2,57.1,8,21.5
"408","Talman Gardner",2003,"WR",22,0,"Florida State",73,44.4,34.5,NA,116,75.4,44.3,231,2003,2004,0,0,0,2.5,25,0,2.5
"409","Tandon Doss",2011,"WR",21,4,"Indiana",74,46.2,NA,14,NA,NA,NA,123,2011,2013,0,0,1,12.2,47.3,1,12.2
"410","Tavarres King",2013,"WR",22,2,"Georgia",72,44.7,36.5,11,123,69.1,43.3,161,2014,2017,0,0.2,3,17.8,50,3,18
"411","Tavon Austin",2013,"WR",22,29,"West Virginia",68,43.4,32,14,120,NA,40.1,8,2013,2021,10,12,16,19.8,60,26,31.8
"412","Taylor Price",2010,"WR",22,1,"Ohio",72,44,37,16,114,68.2,43.4,90,2010,2011,0,0,0,13.3,62.5,0,13.3
"413","Taywan Taylor",2017,"WR",22,6,"Western Kentucky",71,45,33.5,13,132,65.7,42.1,72,2017,2020,0,1.2,2,19.9,61.6,2,21.1
"414","Terrance Williams",2013,"WR",23,30,"Baylor",74,45.2,32.5,11,119,70.1,43.2,74,2013,2018,0,0.2,20,40.7,61.9,20,40.9
"415","Terrence Murphy",2005,"WR",22,0,"Texas A&M",73,43.9,NA,NA,NA,NA,NA,58,2005,2005,0,0,0,12,45.5,0,12
"416","Tim Carter",2002,"WR",22,11,"Auburn",72,43.2,39,NA,126,66.8,39.3,46,2002,2009,0,1.4,4,15.4,46.8,4,16.8
"417","Tiquan Underwood",2009,"WR",22,9,"Rutgers",73,43.1,41.5,7,129,66.2,41.1,253,2009,2013,0,0,6,22.4,48.8,6,22.4
"418","Titus Young",2011,"WR",21,8,"Boise State",71,44.3,NA,NA,123,NA,NA,44,2011,2012,0,1.2,10,38.1,57,10,39.3
"419","Todd Watkins",2006,"WR",22,1,"BYU",74,44,36,15,118,71.3,42.4,218,2008,2009,0,0,0,4.3,40,0,4.3
"420","Tommy Streeter",2012,"WR",22,0,"Miami (FL)",77,43.7,33,17,125,70.8,NA,198,2014,2014,0,0,0,0,0,0,0
"421","Tony Lippett",2015,"WR",22,6,"Michigan State",74,46.1,36,10,114,69.2,41.3,156,2015,2018,0,0,0,0,NA,0,0
"422","Torrey Smith",2011,"WR",22,42,"Maryland",73,44.1,41,19,126,67.2,41.3,58,2011,2018,0,0.4,41,43.2,49.6,41,43.6
"423","Travis Benjamin",2012,"WR",22,28,"Miami (FL)",70,43.1,38,14,119,NA,NA,100,2012,2021,0,2.4,19,28.3,51.6,19,30.7
"424","Travis Taylor",2000,"WR",21,34,"Florida",73,44.3,37,NA,118,71.5,NA,10,2000,2007,0,2.3,22,39.8,51,22,42.1
"425","Travis Wilson",2006,"WR",22,0,"Oklahoma",74,44.7,36.5,NA,120,67,39.9,78,2006,2006,0,0,0,8,33.3,0,8
"426","Tre McBride",2015,"WR",22,1,"William & Mary",72,44.1,38,16,122,69.6,40.8,245,2015,2017,0,0.5,1,8.9,52.6,1,9.4
"427","Trent Taylor",2017,"WR",22,6,"Louisiana Tech",68,46.3,33,13,117,67.4,40.1,177,2017,2021,0,0,3,17.2,64.8,3,17.2
"428","Trevor Davis",2016,"WR",22,2,"California",73,44.2,38.5,11,124,66,42.2,163,2016,2019,1,2,1,4.8,64,2,6.8
"429","Trevor Gaylor",2000,"WR",22,7,"Miami (OH)",75,45.6,37.5,NA,121,70.3,42.9,111,2000,2002,0,0,4,23.1,43.7,4,23.1
"430","Trey Quinn",2018,"WR",22,2,"SMU",71,45.5,33.5,17,116,69.1,41.9,256,2018,2020,0,0,2,17.1,61.4,2,17.1
"431","Triandos Luke",2004,"WR",22,0,"Alabama",71,45.1,38,NA,124,70.6,41.7,171,2004,2004,0,0,0,5.2,75,0,5.2
"432","Trindon Holliday",2010,"WR",23,4,"LSU",65,43.4,42,10,116,65.4,44.8,197,2011,2014,0,0.2,0,0.5,100,0,0.7
"433","Troy Walters",2000,"WR",23,13,"Stanford",66,45.5,32.5,NA,106,66.1,38.4,165,2000,2007,0,0.4,9,11.6,71.3,9,12
"434","Troy Williamson",2005,"WR",21,8,"South Carolina",73,43.2,NA,NA,NA,69.9,NA,7,2005,2009,0,1.2,4,23.1,47.3,4,24.3
"435","Ty Montgomery",2015,"WR",22,18,"Stanford",72,45.5,40.5,NA,121,69.7,42.1,94,2015,2021,7,15.1,3,14.2,71.3,10,29.3
"436","Tyler Boyd",2016,"WR",21,39,"Pittsburgh",73,45.8,34,11,119,69,43.5,55,2016,2021,0,1.8,24,52.5,67.7,24,54.3
"437","Tyler Lockett",2015,"WR",22,61,"Kansas State",70,44,35.5,NA,121,68.9,40.7,69,2015,2021,1,2.4,45,54.7,71.8,46,57.1
"438","Tyrone Calico",2003,"WR",22,5,"Middle Tennessee State",64,43.4,38,NA,127,67.3,42.6,60,2003,2005,0,0.2,4,18.6,47.2,4,18.8
"439","Vince Mayle",2015,"WR",23,0,"Washington State",74,46.7,35.5,NA,117,69.3,41.3,123,2015,2017,1,0.1,0,0,0,1,0.1
"440","Vincent Brown",2011,"WR",22,9,"San Diego State",71,46.8,33.5,12,121,66.4,42.5,82,2011,2015,0,0,3,24.8,54.9,3,24.8
"441","Vincent Jackson",2005,"WR",22,93,"Northern Colorado",77,44.6,39,NA,NA,NA,NA,61,2005,2016,0,1,57,58.6,52.2,57,59.6
"442","Vinny Sutherland",2001,"WR",22,0,"Purdue",69,44.8,NA,NA,NA,NA,NA,136,2001,2002,0,0.9,0,0.3,100,0,1.2
"443","Walter Young",2003,"WR",23,0,"Illinois",77,45.4,39,NA,121,69,42.5,226,2003,2006,0,0,0,1.9,16.7,0,1.9
"444","Will Franklin",2008,"WR",22,1,"Missouri",72,43.7,34.5,NA,NA,NA,NA,105,2008,2008,0,0,0,6.4,41.2,0,6.4
"445","Will Fuller",2016,"WR",21,26,"Notre Dame",72,43.2,33.5,10,126,69.3,42.7,21,2016,2021,0,0.1,24,57,62.5,24,57.1
"446","Willie Reid",2006,"WR",23,1,"Florida State",70,43.4,37.5,NA,117,70.6,42.6,95,2006,2007,0,0,0,7.7,66.7,0,7.7
"447","Windrell Hayes",2000,"WR",23,1,"USC",71,45,NA,NA,NA,73.3,41.8,143,2000,2001,0,0.2,0,14,28.6,0,14.2
"448","Zay Jones",2017,"WR",21,16,"East Carolina",74,44.5,36.5,15,133,67.9,40.1,37,2017,2021,0,0.1,11,23.8,55,11,23.9
